prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
210,CO-RF-FR-R92B-58,HL Road Frame - Black- 58,,R ,2003-07-01,
211,CO-RF-FR-R92R-58,HL Road Frame - Red- 58,,R ,2003-07-01,
212,AC-HE-HL-U509-R,Sport-100 Helmet- Red,12,S ,2011-07-01,2007-12-28
213,AC-HE-HL-U509-R,Sport-100 Helmet- Red,14,S ,2012-07-01,2008-12-27
214,AC-HE-HL-U509-R,Sport-100 Helmet- Red,13,S ,2013-07-01,
215,AC-HE-HL-U509,Sport-100 Helmet- Black,12,S ,2011-07-01,2007-12-28
216,AC-HE-HL-U509,Sport-100 Helmet- Black,14,S ,2012-07-01,2008-12-27
217,AC-HE-HL-U509,Sport-100 Helmet- Black,13,S ,2013-07-01,
218,CL-SO-SO-B909-M,Mountain Bike Socks- M,3,M ,2011-07-01,2007-12-28
219,CL-SO-SO-B909-L,Mountain Bike Socks- L,3,M ,2011-07-01,2007-12-28
220,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,12,S ,2011-07-01,2007-12-28
221,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,14,S ,2012-07-01,2008-12-27
222,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,13,S ,2013-07-01,
223,CL-CA-CA-1098,AWC Logo Cap,6,S ,2011-07-01,2007-12-28
224,CL-CA-CA-1098,AWC Logo Cap,5,S ,2012-07-01,2008-12-27
225,CL-CA-CA-1098,AWC Logo Cap,7,S ,2013-07-01,
226,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,32,S ,2011-07-01,2007-12-28
227,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,29,S ,2012-07-01,2008-12-27
228,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,38,S ,2013-07-01,
229,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,32,S ,2011-07-01,2007-12-28
230,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,29,S ,2012-07-01,2008-12-27
231,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,38,S ,2013-07-01,
232,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,32,S ,2011-07-01,2007-12-28
233,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,29,S ,2012-07-01,2008-12-27
234,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,38,S ,2013-07-01,
235,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,32,S ,2011-07-01,2007-12-28
236,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,29,S ,2012-07-01,2008-12-27
237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,S ,2013-07-01,
238,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,748,R ,2011-07-01,2007-12-28
239,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,722,R ,2012-07-01,2008-12-27
240,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,869,R ,2013-07-01,
241,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,748,R ,2011-07-01,2007-12-28
242,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,722,R ,2012-07-01,2008-12-27
243,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,869,R ,2013-07-01,
244,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,748,R ,2011-07-01,2007-12-28
245,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,722,R ,2012-07-01,2008-12-27
246,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,869,R ,2013-07-01,
247,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,748,R ,2011-07-01,2007-12-28
248,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,722,R ,2012-07-01,2008-12-27
249,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,869,R ,2013-07-01,
250,CO-RF-FR-R92R-56,HL Road Frame - Red- 56,748,R ,2011-07-01,2007-12-28
251,CO-RF-FR-R92R-56,HL Road Frame - Red- 56,722,R ,2012-07-01,2008-12-27
252,CO-RF-FR-R92R-56,HL Road Frame - Red- 56,869,R ,2013-07-01,
253,CO-RF-FR-R38B-58,LL Road Frame - Black- 58,176,R ,2011-07-01,2007-12-28
254,CO-RF-FR-R38B-58,LL Road Frame - Black- 58,170,R ,2012-07-01,2008-12-27
255,CO-RF-FR-R38B-58,LL Road Frame - Black- 58,205,R ,2013-07-01,
256,CO-RF-FR-R38B-60,LL Road Frame - Black- 60,176,R ,2011-07-01,2007-12-28
257,CO-RF-FR-R38B-60,LL Road Frame - Black- 60,170,R ,2012-07-01,2008-12-27
258,CO-RF-FR-R38B-60,LL Road Frame - Black- 60,205,R ,2013-07-01,
259,CO-RF-FR-R38B-62,LL Road Frame - Black- 62,176,R ,2011-07-01,2007-12-28
260,CO-RF-FR-R38B-62,LL Road Frame - Black- 62,170,R ,2012-07-01,2008-12-27
261,CO-RF-FR-R38B-62,LL Road Frame - Black- 62,205,R ,2013-07-01,
262,CO-RF-FR-R38R-44,LL Road Frame - Red- 44,181,R ,2011-07-01,2007-12-28
263,CO-RF-FR-R38R-44,LL Road Frame - Red- 44,187,R ,2012-07-01,2008-12-27
264,CO-RF-FR-R38R-48,LL Road Frame - Red- 48,181,R ,2011-07-01,2007-12-28
265,CO-RF-FR-R38R-48,LL Road Frame - Red- 48,187,R ,2012-07-01,2008-12-27
266,CO-RF-FR-R38R-52,LL Road Frame - Red- 52,181,R ,2011-07-01,2007-12-28
267,CO-RF-FR-R38R-52,LL Road Frame - Red- 52,187,R ,2012-07-01,2008-12-27
268,CO-RF-FR-R38R-58,LL Road Frame - Red- 58,181,R ,2011-07-01,2007-12-28
269,CO-RF-FR-R38R-58,LL Road Frame - Red- 58,187,R ,2012-07-01,2008-12-27
270,CO-RF-FR-R38R-60,LL Road Frame - Red- 60,181,R ,2011-07-01,2007-12-28
271,CO-RF-FR-R38R-60,LL Road Frame - Red- 60,187,R ,2012-07-01,2008-12-27
272,CO-RF-FR-R38R-62,LL Road Frame - Red- 62,181,R ,2011-07-01,2007-12-28
273,CO-RF-FR-R38R-62,LL Road Frame - Red- 62,187,R ,2012-07-01,2008-12-27
274,CO-RF-FR-R72R-44,ML Road Frame - Red- 44,352,R ,2011-07-01,2007-12-28
275,CO-RF-FR-R72R-48,ML Road Frame - Red- 48,352,R ,2011-07-01,2007-12-28
276,CO-RF-FR-R72R-52,ML Road Frame - Red- 52,352,R ,2011-07-01,2007-12-28
277,CO-RF-FR-R72R-58,ML Road Frame - Red- 58,352,R ,2011-07-01,2007-12-28
278,CO-RF-FR-R72R-60,ML Road Frame - Red- 60,352,R ,2011-07-01,2007-12-28
279,CO-RF-FR-R38B-44,LL Road Frame - Black- 44,176,R ,2011-07-01,2007-12-28
280,CO-RF-FR-R38B-44,LL Road Frame - Black- 44,170,R ,2012-07-01,2008-12-27
281,CO-RF-FR-R38B-44,LL Road Frame - Black- 44,205,R ,2013-07-01,
282,CO-RF-FR-R38B-48,LL Road Frame - Black- 48,176,R ,2011-07-01,2007-12-28
283,CO-RF-FR-R38B-48,LL Road Frame - Black- 48,170,R ,2012-07-01,2008-12-27
284,CO-RF-FR-R38B-48,LL Road Frame - Black- 48,205,R ,2013-07-01,
285,CO-RF-FR-R38B-52,LL Road Frame - Black- 52,176,R ,2011-07-01,2007-12-28
286,CO-RF-FR-R38B-52,LL Road Frame - Black- 52,170,R ,2012-07-01,2008-12-27
287,CO-RF-FR-R38B-52,LL Road Frame - Black- 52,205,R ,2013-07-01,
288,CO-MF-FR-M94S-42,HL Mountain Frame - Silver- 42,624,M ,2011-07-01,2007-12-28
289,CO-MF-FR-M94S-42,HL Mountain Frame - Silver- 42,661,M ,2012-07-01,2008-12-27
290,CO-MF-FR-M94S-42,HL Mountain Frame - Silver- 42,747,M ,2013-07-01,
291,CO-MF-FR-M94S-44,HL Mountain Frame - Silver- 44,707,M ,2011-07-01,2007-12-28
292,CO-MF-FR-M94S-52,HL Mountain Frame - Silver- 48,707,M ,2011-07-01,2007-12-28
293,CO-MF-FR-M94S-46,HL Mountain Frame - Silver- 46,624,M ,2011-07-01,2007-12-28
294,CO-MF-FR-M94S-46,HL Mountain Frame - Silver- 46,661,M ,2012-07-01,2008-12-27
295,CO-MF-FR-M94S-46,HL Mountain Frame - Silver- 46,747,M ,2013-07-01,
296,CO-MF-FR-M94B-42,HL Mountain Frame - Black- 42,617,M ,2011-07-01,2007-12-28
297,CO-MF-FR-M94B-42,HL Mountain Frame - Black- 42,654,M ,2012-07-01,2008-12-27
298,CO-MF-FR-M94B-42,HL Mountain Frame - Black- 42,739,M ,2013-07-01,
299,CO-MF-FR-M94B-44,HL Mountain Frame - Black- 44,699,M ,2011-07-01,2007-12-28
300,CO-MF-FR-M94B-48,HL Mountain Frame - Black- 48,699,M ,2011-07-01,2007-12-28
301,CO-MF-FR-M94B-46,HL Mountain Frame - Black- 46,617,M ,2011-07-01,2007-12-28
302,CO-MF-FR-M94B-46,HL Mountain Frame - Black- 46,654,M ,2012-07-01,2008-12-27
303,CO-MF-FR-M94B-46,HL Mountain Frame - Black- 46,739,M ,2013-07-01,
304,CO-MF-FR-M94B-38,HL Mountain Frame - Black- 38,617,M ,2011-07-01,2007-12-28
305,CO-MF-FR-M94B-38,HL Mountain Frame - Black- 38,654,M ,2012-07-01,2008-12-27
306,CO-MF-FR-M94B-38,HL Mountain Frame - Black- 38,739,M ,2013-07-01,
307,CO-MF-FR-M94S-38,HL Mountain Frame - Silver- 38,624,M ,2011-07-01,2007-12-28
308,CO-MF-FR-M94S-38,HL Mountain Frame - Silver- 38,661,M ,2012-07-01,2008-12-27
309,CO-MF-FR-M94S-38,HL Mountain Frame - Silver- 38,747,M ,2013-07-01,
310,BI-RB-BK-R93R-62,Road-150 Red- 62,2171,R ,2011-07-01,2007-12-28
311,BI-RB-BK-R93R-44,Road-150 Red- 44,2171,R ,2011-07-01,2007-12-28
312,BI-RB-BK-R93R-48,Road-150 Red- 48,2171,R ,2011-07-01,2007-12-28
313,BI-RB-BK-R93R-52,Road-150 Red- 52,2171,R ,2011-07-01,2007-12-28
314,BI-RB-BK-R93R-56,Road-150 Red- 56,2171,R ,2011-07-01,2007-12-28
315,BI-RB-BK-R68R-58,Road-450 Red- 58,885,R ,2011-07-01,2007-12-28
316,BI-RB-BK-R68R-60,Road-450 Red- 60,885,R ,2011-07-01,2007-12-28
317,BI-RB-BK-R68R-44,Road-450 Red- 44,885,R ,2011-07-01,2007-12-28
318,BI-RB-BK-R68R-48,Road-450 Red- 48,885,R ,2011-07-01,2007-12-28
319,BI-RB-BK-R68R-52,Road-450 Red- 52,885,R ,2011-07-01,2007-12-28
320,BI-RB-BK-R50R-58,Road-650 Red- 58,413,R ,2011-07-01,2007-12-28
321,BI-RB-BK-R50R-58,Road-650 Red- 58,487,R ,2012-07-01,2008-12-27
322,BI-RB-BK-R50R-60,Road-650 Red- 60,413,R ,2011-07-01,2007-12-28
323,BI-RB-BK-R50R-60,Road-650 Red- 60,487,R ,2012-07-01,2008-12-27
324,BI-RB-BK-R50R-62,Road-650 Red- 62,413,R ,2011-07-01,2007-12-28
325,BI-RB-BK-R50R-62,Road-650 Red- 62,487,R ,2012-07-01,2008-12-27
326,BI-RB-BK-R50R-44,Road-650 Red- 44,413,R ,2011-07-01,2007-12-28
327,BI-RB-BK-R50R-44,Road-650 Red- 44,487,R ,2012-07-01,2008-12-27
328,BI-RB-BK-R50R-48,Road-650 Red- 48,413,R ,2011-07-01,2007-12-28
329,BI-RB-BK-R50R-48,Road-650 Red- 48,487,R ,2012-07-01,2008-12-27
330,BI-RB-BK-R50R-52,Road-650 Red- 52,413,R ,2011-07-01,2007-12-28
331,BI-RB-BK-R50R-52,Road-650 Red- 52,487,R ,2012-07-01,2008-12-27
332,BI-RB-BK-R50B-58,Road-650 Black- 58,413,R ,2011-07-01,2007-12-28
333,BI-RB-BK-R50B-58,Road-650 Black- 58,487,R ,2012-07-01,2008-12-27
334,BI-RB-BK-R50B-60,Road-650 Black- 60,413,R ,2011-07-01,2007-12-28
335,BI-RB-BK-R50B-60,Road-650 Black- 60,487,R ,2012-07-01,2008-12-27
336,BI-RB-BK-R50B-62,Road-650 Black- 62,413,R ,2011-07-01,2007-12-28
337,BI-RB-BK-R50B-62,Road-650 Black- 62,487,R ,2012-07-01,2008-12-27
338,BI-RB-BK-R50B-44,Road-650 Black- 44,413,R ,2011-07-01,2007-12-28
339,BI-RB-BK-R50B-44,Road-650 Black- 44,487,R ,2012-07-01,2008-12-27
340,BI-RB-BK-R50B-48,Road-650 Black- 48,413,R ,2011-07-01,2007-12-28
341,BI-RB-BK-R50B-48,Road-650 Black- 48,487,R ,2012-07-01,2008-12-27
342,BI-RB-BK-R50B-52,Road-650 Black- 52,413,R ,2011-07-01,2007-12-28
343,BI-RB-BK-R50B-52,Road-650 Black- 52,487,R ,2012-07-01,2008-12-27
344,BI-MB-BK-M82S-38,Mountain-100 Silver- 38,1912,M ,2011-07-01,2007-12-28
345,BI-MB-BK-M82S-42,Mountain-100 Silver- 42,1912,M ,2011-07-01,2007-12-28
346,BI-MB-BK-M82S-44,Mountain-100 Silver- 44,1912,M ,2011-07-01,2007-12-28
347,BI-MB-BK-M82S-48,Mountain-100 Silver- 48,1912,M ,2011-07-01,2007-12-28
348,BI-MB-BK-M82B-38,Mountain-100 Black- 38,1898,M ,2011-07-01,2007-12-28
349,BI-MB-BK-M82B-42,Mountain-100 Black- 42,1898,M ,2011-07-01,2007-12-28
350,BI-MB-BK-M82B-44,Mountain-100 Black- 44,1898,M ,2011-07-01,2007-12-28
351,BI-MB-BK-M82B-48,Mountain-100 Black- 48,1898,M ,2011-07-01,2007-12-28
352,BI-MB-BK-M68S-38,Mountain-200 Silver- 38,1118,M ,2012-07-01,2008-12-27
353,BI-MB-BK-M68S-38,Mountain-200 Silver- 38,1266,M ,2013-07-01,
354,BI-MB-BK-M68S-42,Mountain-200 Silver- 42,1118,M ,2012-07-01,2008-12-27
355,BI-MB-BK-M68S-42,Mountain-200 Silver- 42,1266,M ,2013-07-01,
356,BI-MB-BK-M68S-46,Mountain-200 Silver- 46,1118,M ,2012-07-01,2008-12-27
357,BI-MB-BK-M68S-46,Mountain-200 Silver- 46,1266,M ,2013-07-01,
358,BI-MB-BK-M68B-38,Mountain-200 Black- 38,1106,M ,2012-07-01,2008-12-27
359,BI-MB-BK-M68B-38,Mountain-200 Black- 38,1252,M ,2013-07-01,
360,BI-MB-BK-M68B-42,Mountain-200 Black- 42,1106,M ,2012-07-01,2008-12-27
361,BI-MB-BK-M68B-42,Mountain-200 Black- 42,1252,M ,2013-07-01,
362,BI-MB-BK-M68B-46,Mountain-200 Black- 46,1106,M ,2012-07-01,2008-12-27
363,BI-MB-BK-M68B-46,Mountain-200 Black- 46,1252,M ,2013-07-01,
364,BI-MB-BK-M47B-38,Mountain-300 Black- 38,598,M ,2012-07-01,2008-12-27
365,BI-MB-BK-M47B-40,Mountain-300 Black- 40,598,M ,2012-07-01,2008-12-27
366,BI-MB-BK-M47B-44,Mountain-300 Black- 44,598,M ,2012-07-01,2008-12-27
367,BI-MB-BK-M47B-48,Mountain-300 Black- 48,598,M ,2012-07-01,2008-12-27
368,BI-RB-BK-R89R-44,Road-250 Red- 44,1519,R ,2012-07-01,2008-12-27
369,BI-RB-BK-R89R-48,Road-250 Red- 48,1519,R ,2012-07-01,2008-12-27
370,BI-RB-BK-R89R-52,Road-250 Red- 52,1519,R ,2012-07-01,2008-12-27
371,BI-RB-BK-R89R-58,Road-250 Red- 58,1321,R ,2012-07-01,2008-12-27
372,BI-RB-BK-R89R-58,Road-250 Red- 58,1555,R ,2013-07-01,
373,BI-RB-BK-R89B-44,Road-250 Black- 44,1321,R ,2012-07-01,2008-12-27
374,BI-RB-BK-R89B-44,Road-250 Black- 44,1555,R ,2013-07-01,
375,BI-RB-BK-R89B-48,Road-250 Black- 48,1321,R ,2012-07-01,2008-12-27
376,BI-RB-BK-R89B-48,Road-250 Black- 48,1555,R ,2013-07-01,
377,BI-RB-BK-R89B-52,Road-250 Black- 52,1321,R ,2012-07-01,2008-12-27
378,BI-RB-BK-R89B-52,Road-250 Black- 52,1555,R ,2013-07-01,
379,BI-RB-BK-R89B-58,Road-250 Black- 58,1321,R ,2012-07-01,2008-12-27
380,BI-RB-BK-R89B-58,Road-250 Black- 58,1555,R ,2013-07-01,
381,BI-RB-BK-R64Y-38,Road-550-W Yellow- 38,606,R ,2012-07-01,2008-12-27
382,BI-RB-BK-R64Y-38,Road-550-W Yellow- 38,713,R ,2013-07-01,
383,BI-RB-BK-R64Y-40,Road-550-W Yellow- 40,606,R ,2012-07-01,2008-12-27
384,BI-RB-BK-R64Y-40,Road-550-W Yellow- 40,713,R ,2013-07-01,
385,BI-RB-BK-R64Y-42,Road-550-W Yellow- 42,606,R ,2012-07-01,2008-12-27
386,BI-RB-BK-R64Y-42,Road-550-W Yellow- 42,713,R ,2013-07-01,
387,BI-RB-BK-R64Y-44,Road-550-W Yellow- 44,606,R ,2012-07-01,2008-12-27
388,BI-RB-BK-R64Y-44,Road-550-W Yellow- 44,713,R ,2013-07-01,
389,BI-RB-BK-R64Y-48,Road-550-W Yellow- 48,606,R ,2012-07-01,2008-12-27
390,BI-RB-BK-R64Y-48,Road-550-W Yellow- 48,713,R ,2013-07-01,
391,CO-FO-FK-1639,LL Fork,66,,2012-07-01,2008-12-27
392,CO-FO-FK-5136,ML Fork,78,,2012-07-01,2008-12-27
393,CO-FO-FK-9939,HL Fork,102,,2012-07-01,2008-12-27
394,CO-HS-HS-0296,LL Headset,15,,2012-07-01,2008-12-27
395,CO-HS-HS-2451,ML Headset,45,,2012-07-01,2008-12-27
396,CO-HS-HS-3479,HL Headset,55,,2012-07-01,2008-12-27
397,CO-HB-HB-M243,LL Mountain Handlebars,18,M ,2012-07-01,2008-12-27
